epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,513.603,1.2696,5.09538,1.42919,0.95352,0.52083,0.52624,0.40496,0.92255,5.53759,1.26484,1.818e-05,1.818e-05,1.818e-05
2,1005.02,1.15695,5.09386,1.32629,0.93346,0.47692,0.50156,0.36675,0.96416,5.9755,1.2218,4.47001e-05,4.47001e-05,4.47001e-05
3,1516.32,1.07433,4.65696,1.21534,0.97346,0.4851,0.54706,0.39545,0.902,6.1252,1.1526,7.03202e-05,7.03202e-05,7.03202e-05
4,2019.44,1.05042,5.45293,1.16807,0.95158,0.6498,0.68605,0.50324,0.88878,6.292,1.11923,9.50405e-05,9.50405e-05,9.50405e-05
5,2531.43,0.92016,5.34361,1.08141,0.94793,0.6175,0.67978,0.4835,0.93409,6.14324,1.14589,0.000118861,0.000118861,0.000118861
6,3052.77,0.97111,4.77612,1.10292,0.89451,0.61437,0.8003,0.57072,0.98114,6.20586,1.16805,0.000141781,0.000141781,0.000141781
7,3542.39,1.07196,4.52107,1.1204,0.90669,0.64666,0.91409,0.64223,1.0209,6.23687,1.20742,0.000163802,0.000163802,0.000163802
8,4037.89,0.91177,4.75781,1.08773,0.89924,0.67179,0.91935,0.6474,1.04023,6.27871,1.21564,0.000184922,0.000184922,0.000184922
9,4546.26,0.89418,4.1812,1.04779,0.89841,0.83129,0.92246,0.60935,1.25951,6.44547,1.33888,0.000205143,0.000205143,0.000205143
10,5052.8,0.93723,4.13308,1.06048,0.90621,0.8256,0.89899,0.6004,1.24948,6.1923,1.35198,0.000224464,0.000224464,0.000224464
11,5552.23,0.94004,4.49549,1.02396,0.96911,0.86752,0.89385,0.66149,0.93474,5.665,1.153,0.000242885,0.000242885,0.000242885
12,6082.06,0.91409,4.33954,1.06317,0.92595,0.78476,0.81552,0.61042,0.90854,5.66276,1.12932,0.000260406,0.000260406,0.000260406
13,6580.68,0.91665,4.50808,1.1038,0.96394,0.67515,0.7424,0.57,0.85933,6.01713,1.09344,0.000277027,0.000277027,0.000277027
14,7072.65,0.84963,4.08931,1.01498,1,0.52203,0.73093,0.55889,0.8871,6.18303,1.10365,0.000292748,0.000292748,0.000292748
15,7559.83,0.91009,4.40947,1.08185,1,0.48224,0.73045,0.54691,0.92646,6.34273,1.14961,0.000307569,0.000307569,0.000307569
16,8034.55,0.82952,4.18901,1.02448,1,0.3921,0.73926,0.54745,0.99619,6.558,1.18716,0.000321491,0.000321491,0.000321491
17,8537.22,0.95671,3.83942,1.03447,0.99097,0.32778,0.74626,0.55622,0.87797,6.56618,1.14593,0.000334512,0.000334512,0.000334512
18,9052.34,0.83083,3.97741,1.01681,0.97538,0.34824,0.76799,0.58,0.87132,6.60809,1.1274,0.000346634,0.000346634,0.000346634
19,9551.52,0.91972,3.98342,1.04186,1,0.3932,0.79226,0.57364,1.00221,6.64608,1.18898,0.000357855,0.000357855,0.000357855
20,10031.2,0.88625,4.87412,1.07812,1,0.38809,0.75744,0.54768,1.00426,6.55548,1.19818,0.000368177,0.000368177,0.000368177
21,10494.6,0.8682,3.75327,1.02622,1,0.38805,0.83153,0.62541,0.9229,6.35997,1.15434,0.000377599,0.000377599,0.000377599
22,11006.4,0.90183,4.7969,1.07336,1,0.39854,0.89808,0.70022,0.84832,6.34668,1.09907,0.00038612,0.00038612,0.00038612
23,11513,0.87008,3.53586,1.0047,1,0.62102,0.9087,0.70444,0.97576,6.43684,1.16944,0.000393742,0.000393742,0.000393742
24,11992.9,0.81699,4.07859,1.03442,0.96823,0.71625,0.96837,0.70995,1.05979,6.34868,1.22807,0.000400464,0.000400464,0.000400464
25,12483.1,1.01747,4.26004,1.13613,0.91785,0.76822,0.96683,0.72457,0.95238,6.27067,1.15554,0.000406287,0.000406287,0.000406287
26,12983.5,0.84651,3.33077,0.99592,0.9491,0.892,0.97695,0.72455,0.91312,6.24524,1.15796,0.000411209,0.000411209,0.000411209
27,13470.7,0.9559,3.93485,1.10124,0.9808,0.93408,0.97849,0.72631,0.87017,6.10508,1.12053,0.000415231,0.000415231,0.000415231
28,13988.1,0.93058,4.26038,1.11087,0.99946,0.91751,0.98003,0.76387,0.8,6.07036,1.06653,0.000418354,0.000418354,0.000418354
29,14477,0.96152,3.40008,1.08332,0.99946,0.91751,0.98003,0.76387,0.8,6.07036,1.06653,0.000420576,0.000420576,0.000420576
30,14983,0.92192,3.84124,1.04723,0.98408,0.92927,0.98003,0.77498,0.77942,5.72639,1.04085,0.000421899,0.000421899,0.000421899
31,15451.2,0.8718,3.94259,1.02156,0.95773,0.96061,0.98003,0.77345,0.73846,5.16189,1.02093,0.000422321,0.000422321,0.000422321
32,15922.6,0.84855,3.18462,1.0048,0.96109,0.98333,0.98003,0.79043,0.73527,4.58228,1.01345,0.000421844,0.000421844,0.000421844
33,16408.1,0.88926,3.68261,1.04015,0.96109,0.98333,0.98003,0.79043,0.73527,4.58228,1.01345,0.000420467,0.000420467,0.000420467
34,16893,0.82518,3.32877,1.02407,0.97328,0.98033,0.98003,0.79046,0.81844,4.46007,1.06472,0.000414049,0.000414049,0.000414049
35,17394.5,0.92167,4.3199,1.19752,0.97059,0.97878,0.98004,0.78867,0.80004,4.43369,1.03906,0.000399051,0.000399051,0.000399051
36,17880.6,0.80671,3.18244,0.99827,0.97394,0.97615,0.98004,0.79211,0.75372,4.41786,1.02199,0.000384052,0.000384052,0.000384052
37,18351.9,0.70409,3.81074,0.98134,0.97394,0.97615,0.98004,0.79211,0.75372,4.41786,1.02199,0.000369054,0.000369054,0.000369054
38,18806.6,0.75343,3.18162,0.9511,0.97411,0.97339,0.98003,0.80619,0.72642,4.29128,1.0109,0.000354055,0.000354055,0.000354055
39,19297,0.78631,3.13235,0.97737,0.9743,0.97736,0.98003,0.82891,0.66519,4.03162,0.9806,0.000339057,0.000339057,0.000339057
40,19766.5,0.8009,3.6317,0.98546,0.97776,0.98333,0.98003,0.83541,0.66762,3.8328,0.97127,0.000324058,0.000324058,0.000324058
