epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.62,1.5248,5.59032,1.70248,0.90251,0.7683,0.995,0.72865,1.13432,7.62236,1.52639,0,0,0
2,600.29,1.03595,4.50878,1.25633,0.90135,0.7879,0.995,0.72561,1.11199,7.56992,1.49206,8.94001e-06,8.94001e-06,8.94001e-06
3,895.86,0.85282,4.65914,1.22298,0.93032,0.85306,0.995,0.72382,1.06857,7.59197,1.43156,1.75801e-05,1.75801e-05,1.75801e-05
4,1161.26,1.13385,5.0626,1.38163,0.9489,0.86623,0.995,0.72362,1.04909,7.5368,1.3752,2.59201e-05,2.59201e-05,2.59201e-05
5,1401.22,0.90343,4.23615,1.28007,0.94746,1,0.995,0.73221,1.03284,7.39777,1.32959,3.39602e-05,3.39602e-05,3.39602e-05
6,1675.55,0.95416,4.54055,1.24499,0.94631,1,0.995,0.73233,1.06418,7.27966,1.29695,4.17004e-05,4.17004e-05,4.17004e-05
7,1938.13,0.89396,4.95892,1.20018,0.94712,1,0.995,0.74122,1.07967,7.20869,1.28227,4.91405e-05,4.91405e-05,4.91405e-05
8,2203.09,1.10575,4.18355,1.17292,0.94391,0.98474,0.995,0.72317,1.07129,7.01637,1.25642,5.62807e-05,5.62807e-05,5.62807e-05
9,2503.15,1.01897,5.8824,1.22622,0.93483,1,0.995,0.74047,1.02736,6.73716,1.21292,6.3121e-05,6.3121e-05,6.3121e-05
10,2803.17,0.88367,4.10454,1.04757,0.9431,1,0.995,0.77573,0.94358,6.58915,1.16643,6.96612e-05,6.96612e-05,6.96612e-05
11,3076.62,1.03375,3.89529,1.1433,0.9204,1,0.995,0.76052,0.96549,6.39413,1.18463,7.59015e-05,7.59015e-05,7.59015e-05
12,3379.31,0.93737,4.99233,1.15653,0.93363,1,0.995,0.74284,1.01184,6.26221,1.2096,8.18418e-05,8.18418e-05,8.18418e-05
13,3674.84,1.15612,4.9083,1.2996,0.93533,0.99334,0.995,0.72616,1.02063,6.20155,1.20827,8.74822e-05,8.74822e-05,8.74822e-05
14,3953.81,0.90641,4.95207,1.19892,0.93048,1,0.995,0.73685,0.98517,6.25659,1.17091,9.28225e-05,9.28225e-05,9.28225e-05
15,4230.21,1.01845,5.01439,1.13796,0.92298,1,0.995,0.75778,0.94037,6.38658,1.13537,9.78629e-05,9.78629e-05,9.78629e-05
16,4512.01,0.90613,3.8958,1.0731,0.9382,1,0.995,0.75557,0.89902,6.37019,1.11534,0.000102603,0.000102603,0.000102603
17,4786.27,0.97433,4.40614,1.09894,0.95848,0.99084,0.995,0.78527,0.85221,6.33128,1.08464,0.000107044,0.000107044,0.000107044
18,5080.73,0.87477,4.68137,1.13715,0.95848,0.99084,0.995,0.78527,0.85221,6.33128,1.08464,0.000111184,0.000111184,0.000111184
19,5368.87,0.90451,4.70934,0.99882,0.9655,0.98256,0.995,0.79514,0.8169,6.29318,1.05676,0.000115025,0.000115025,0.000115025
20,5613.76,0.96682,5.01836,1.18989,0.9655,0.98256,0.995,0.79514,0.8169,6.29318,1.05676,0.000118565,0.000118565,0.000118565
21,5902.88,1.02281,4.76644,1.17291,0.96502,0.9914,0.995,0.79689,0.79092,6.27859,1.04735,0.000121806,0.000121806,0.000121806
22,6167.92,0.94342,4.01852,1.07981,0.96502,0.9914,0.995,0.79689,0.79092,6.27859,1.04735,0.000124747,0.000124747,0.000124747
