epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6307,2.15807,14.4758,2.36979,0.00098,0.25,0.00375,0.00051,1.91831,12.0206,2.62849,0,0,0
2,126.085,2.34122,14.503,2.47616,0.00144,0.33333,0.00771,0.00095,1.85126,12.5052,2.56312,8.94001e-06,8.94001e-06,8.94001e-06
3,178.744,2.53953,11.7733,2.45779,0.00157,0.33333,0.01165,0.00141,1.8489,11.5854,2.44047,1.75801e-05,1.75801e-05,1.75801e-05
4,242.658,1.57387,18.0722,1.98684,0.0018,0.33333,0.02319,0.00364,1.84074,11.8115,2.37801,2.59201e-05,2.59201e-05,2.59201e-05
5,299.481,1.79007,10.0323,1.97166,0.00205,0.33333,0.06184,0.0091,1.77274,11.2797,2.24393,3.39602e-05,3.39602e-05,3.39602e-05
6,364.76,2.01596,7.73167,2.03642,0.00232,0.33333,0.04673,0.02186,1.70977,10.989,2.10088,4.17004e-05,4.17004e-05,4.17004e-05
7,421.814,1.7608,15.5689,2.19139,0.00264,0.33333,0.08131,0.04084,1.64363,10.2747,1.99397,4.91405e-05,4.91405e-05,4.91405e-05
8,492.034,1.70558,8.91643,1.99617,0.00308,0.33333,0.15452,0.05075,1.57285,9.84781,1.90583,5.62807e-05,5.62807e-05,5.62807e-05
9,558.329,1.49535,11.0156,1.6865,0.00356,0.33333,0.16897,0.07128,1.5036,9.68932,1.82651,6.3121e-05,6.3121e-05,6.3121e-05
10,616.231,1.30199,8.84424,1.53536,0.00418,0.33333,0.1781,0.12398,1.28835,9.36805,1.6149,6.96612e-05,6.96612e-05,6.96612e-05
11,671.935,1.15947,9.06006,1.461,0.00455,0.33333,0.11861,0.09161,1.10351,9.03887,1.43449,7.59015e-05,7.59015e-05,7.59015e-05
12,726.517,1.2101,8.0889,1.46871,0.00523,0.33333,0.10537,0.04611,1.2132,8.68317,1.42746,8.18418e-05,8.18418e-05,8.18418e-05
13,781.282,1.17654,9.72039,1.34759,0.07972,0.66667,0.26507,0.13221,1.28312,8.79058,1.45947,8.74822e-05,8.74822e-05,8.74822e-05
14,849.367,1.47428,8.77911,1.67699,0.05409,0.66667,0.41204,0.20774,1.26673,8.98625,1.43022,9.28225e-05,9.28225e-05,9.28225e-05
15,916.098,1.23504,7.76081,1.30103,0.05449,0.66667,0.375,0.19873,1.24604,8.74853,1.35609,9.78629e-05,9.78629e-05,9.78629e-05
16,991.798,1.25525,8.3863,1.25934,0.06706,0.83333,0.29098,0.17461,1.1399,8.50394,1.2764,0.000102603,0.000102603,0.000102603
17,1076.85,1.13142,8.04497,1.20472,0.08442,1,0.40127,0.27102,0.99745,8.21751,1.17135,0.000107044,0.000107044,0.000107044
18,1143.79,1.11472,6.87106,1.09532,0.08442,1,0.40127,0.27102,0.99745,8.21751,1.17135,0.000111184,0.000111184,0.000111184
19,1212.76,1.28124,9.18882,1.29898,0.08041,1,0.41905,0.30683,0.93467,7.96852,1.10953,0.000115025,0.000115025,0.000115025
20,1280.8,1.02676,6.15368,1.0644,0.08041,1,0.41905,0.30683,0.93467,7.96852,1.10953,0.000118565,0.000118565,0.000118565
21,1344.42,1.23146,8.65845,1.30689,0.08383,1,0.42947,0.31132,0.89732,7.83159,1.08988,0.000121806,0.000121806,0.000121806
22,1409.53,0.98879,7.29674,1.24325,0.08383,1,0.42947,0.31132,0.89732,7.83159,1.08988,0.000124747,0.000124747,0.000124747
23,1467.86,1.03499,9.71651,1.15805,0.08235,1,0.47061,0.35238,0.88606,7.79053,1.06938,0.000127387,0.000127387,0.000127387
24,1530.64,0.96807,5.96633,1.07434,0.08235,1,0.47061,0.35238,0.88606,7.79053,1.06938,0.000129728,0.000129728,0.000129728
25,1598.2,1.15912,9.50182,1.4036,0.07692,1,0.48911,0.3756,0.86471,7.78287,1.06757,0.000131769,0.000131769,0.000131769
