epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0166,1.06849,0.82885,1.06397,0.95935,0.94781,0.97798,0.65644,1.15207,0.79018,1.1455,4.165e-05,4.165e-05,4.165e-05
2,49.3786,1.17031,0.81242,1.17798,0.90684,0.96732,0.9792,0.70251,0.98191,0.71247,1.05539,8.98157e-05,8.98157e-05,8.98157e-05
3,70.6334,0.98619,0.7017,1.01603,0.9558,0.94131,0.97102,0.70593,0.96849,0.71087,1.04465,0.000136002,0.000136002,0.000136002
4,91.2844,1.03956,0.73289,1.03975,0.94559,0.95842,0.96977,0.70076,0.97775,0.67837,1.04982,0.00018021,0.00018021,0.00018021
5,112.278,0.97368,0.69202,1.05588,0.92985,0.94713,0.96587,0.67228,1.01973,0.69663,1.06745,0.000222438,0.000222438,0.000222438
6,135.98,1.03794,0.71889,1.03473,0.92659,0.95717,0.978,0.68333,0.99462,0.67384,1.0364,0.000262687,0.000262687,0.000262687
7,157.002,1.34162,0.83037,1.14201,0.94459,0.93604,0.97539,0.66375,1.01921,0.67142,1.04151,0.000300956,0.000300956,0.000300956
8,178.191,1.01712,0.67891,1.0769,0.83911,0.92976,0.97097,0.68586,1.02336,0.71173,1.06958,0.000337247,0.000337247,0.000337247
9,200.661,0.98398,0.66111,1.00598,0.90702,0.93787,0.96757,0.6904,1.02118,0.70288,1.06339,0.000371558,0.000371558,0.000371558
10,222.224,1.03767,0.78877,1.11548,0.90223,0.94185,0.97213,0.69415,1.06452,0.68023,1.06807,0.00040389,0.00040389,0.00040389
11,243.389,0.98493,0.72602,1.06668,0.83754,0.91291,0.96384,0.66996,1.01311,0.67423,1.04971,0.000434243,0.000434243,0.000434243
12,264.777,0.959,0.64823,1.03767,0.90085,0.94006,0.97381,0.66862,1.12695,0.72139,1.16229,0.000462617,0.000462617,0.000462617
13,286.105,1.08055,0.73782,1.10689,0.92172,0.95389,0.97378,0.66397,1.01316,0.66961,1.04062,0.000489011,0.000489011,0.000489011
14,307.83,1.10834,0.74522,1.07477,0.91267,0.95981,0.96925,0.64846,1.05648,0.66202,1.09145,0.000513426,0.000513426,0.000513426
15,329.893,0.98503,0.65234,1.02239,0.90749,0.94485,0.97583,0.65,1.07714,0.68412,1.11184,0.000535862,0.000535862,0.000535862
16,352.58,1.02285,0.62791,1.05518,0.89364,0.95226,0.97144,0.67018,1.01737,0.64811,1.04696,0.000556319,0.000556319,0.000556319
17,374.501,1.02402,0.66861,1.07157,0.925,0.97501,0.97679,0.6736,1.01825,0.6012,1.0466,0.000569106,0.000569106,0.000569106
18,396.424,1.00987,0.6447,1.03491,0.92645,0.98151,0.98282,0.69909,1.04886,0.63848,1.07613,0.000552612,0.000552612,0.000552612
19,417.962,1.15322,0.72399,1.08521,0.90909,0.96416,0.98319,0.69602,1.02853,0.62861,1.08337,0.000536119,0.000536119,0.000536119
20,438.596,0.97542,0.65012,1.06537,0.9177,0.97608,0.98515,0.71499,0.94605,0.57712,1.03042,0.000519625,0.000519625,0.000519625
21,459.437,1.05803,0.64157,1.06311,0.89345,0.95773,0.98499,0.70846,0.93985,0.55802,1.01851,0.000503132,0.000503132,0.000503132
22,480.138,1.16472,0.66212,1.10616,0.9167,0.93948,0.98346,0.71435,0.91627,0.55025,1.00899,0.000486639,0.000486639,0.000486639
23,500.896,1.00773,0.64813,1.04952,0.92607,0.96735,0.98679,0.7278,0.91146,0.54154,1.00079,0.000470145,0.000470145,0.000470145
24,521.777,1.0131,0.60862,1.03778,0.95939,0.97136,0.98673,0.73219,0.9,0.54201,0.99531,0.000453652,0.000453652,0.000453652
25,541.926,1.17381,0.63649,1.40292,0.96366,0.96572,0.98686,0.73866,0.88093,0.52422,0.99161,0.000437158,0.000437158,0.000437158
26,562.988,0.98568,0.59512,1.00328,0.92588,0.97812,0.98618,0.74963,0.8905,0.52115,1.01623,0.000420665,0.000420665,0.000420665
27,583.873,0.95712,0.59513,1.05628,0.93194,0.97835,0.98706,0.7429,0.86695,0.52059,0.99729,0.000404172,0.000404172,0.000404172
28,604.814,0.93931,0.5788,1.05102,0.97122,0.96596,0.98713,0.72324,0.86923,0.5031,0.99306,0.000387678,0.000387678,0.000387678
29,625.101,0.88765,0.53531,0.96867,0.95744,0.97435,0.9865,0.72343,0.86503,0.49891,0.98928,0.000371185,0.000371185,0.000371185
30,645.626,0.88192,0.56459,1.01636,0.95099,0.98012,0.98599,0.72862,0.88399,0.49045,0.99638,0.000354691,0.000354691,0.000354691
31,666.906,0.77615,0.65001,0.84815,0.95198,0.98103,0.9853,0.71863,0.87988,0.48454,0.9942,0.000338198,0.000338198,0.000338198
32,687.934,0.9437,0.54876,1.02012,0.95448,0.97371,0.98439,0.71582,0.86107,0.48621,0.98782,0.000321705,0.000321705,0.000321705
33,708.954,0.93941,0.56274,0.9962,0.94378,0.97489,0.98413,0.73148,0.85805,0.48205,0.99146,0.000305211,0.000305211,0.000305211
34,729.839,0.95149,0.56431,1.025,0.93839,0.96673,0.98498,0.7414,0.85081,0.49209,0.97757,0.000288718,0.000288718,0.000288718
35,751.011,0.93817,0.53944,0.97602,0.93802,0.96572,0.98312,0.73655,0.84964,0.49517,0.97393,0.000272224,0.000272224,0.000272224
36,772.546,0.90414,0.50105,1.00976,0.9552,0.97927,0.98342,0.73901,0.82259,0.47347,0.95595,0.000255731,0.000255731,0.000255731
37,793.195,0.91879,0.54506,0.97076,0.96814,0.97538,0.98409,0.75184,0.8192,0.46703,0.95634,0.000239238,0.000239238,0.000239238
38,813.579,0.902,0.5114,0.97846,0.96834,0.97774,0.98425,0.75172,0.80099,0.45913,0.94947,0.000222744,0.000222744,0.000222744
39,833.734,0.83446,0.47325,0.9541,0.96569,0.97712,0.98435,0.74961,0.7885,0.4523,0.94553,0.000206251,0.000206251,0.000206251
40,854.649,0.91656,0.55754,0.9757,0.96251,0.98677,0.98544,0.75751,0.80155,0.45198,0.95954,0.000189757,0.000189757,0.000189757
41,878.191,0.93464,0.60424,1.04542,0.95812,0.98687,0.98663,0.75778,0.7851,0.44555,0.95451,0.000173264,0.000173264,0.000173264
42,900.972,0.9352,0.52366,1.00018,0.96085,0.9884,0.98728,0.75909,0.79235,0.44095,0.95576,0.000156771,0.000156771,0.000156771
43,922.494,0.85642,0.50946,0.98411,0.95932,0.98639,0.98779,0.75104,0.80005,0.44488,0.95638,0.000140277,0.000140277,0.000140277
44,943.719,0.98606,0.55398,0.95853,0.95544,0.98312,0.98782,0.76128,0.76416,0.44648,0.93907,0.000123784,0.000123784,0.000123784
45,964.573,0.82408,0.50621,0.97596,0.95229,0.98318,0.98748,0.76269,0.75964,0.44272,0.93623,0.00010729,0.00010729,0.00010729
46,985.413,0.82726,0.47463,0.97111,0.95481,0.98876,0.98718,0.76316,0.77568,0.43069,0.94479,9.0797e-05,9.0797e-05,9.0797e-05
47,1007,0.88606,0.53638,0.97249,0.95885,0.98966,0.9871,0.76448,0.77983,0.42642,0.9478,7.43036e-05,7.43036e-05,7.43036e-05
48,1029.37,0.92133,0.56013,1.0114,0.96373,0.98832,0.98652,0.75611,0.77013,0.42226,0.94422,5.78102e-05,5.78102e-05,5.78102e-05
49,1051.56,0.81127,0.4744,0.98079,0.96479,0.98806,0.98655,0.75817,0.76216,0.41959,0.94072,4.13168e-05,4.13168e-05,4.13168e-05
50,1072.5,0.90486,0.49668,0.97314,0.96844,0.9879,0.98667,0.76423,0.74654,0.41609,0.93367,2.48234e-05,2.48234e-05,2.48234e-05
