epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1205.61,1.10515,10.9949,1.26336,0.00845,0.40472,0.04279,0.03783,0.93721,9.67185,1.19235,3.332e-05,3.332e-05,3.332e-05
2,2289.44,0.93716,9.01702,1.1619,0.0182,0.4984,0.14337,0.12891,0.91652,9.47761,1.10533,7.3733e-05,7.3733e-05,7.3733e-05
3,3288.58,1.00054,9.15363,1.12049,0.54681,0.19308,0.24827,0.21784,0.88092,9.13605,1.0347,0.000112772,0.000112772,0.000112772
4,4303.95,0.98137,8.10189,1.03092,0.68556,0.22951,0.28929,0.25143,0.9467,8.9977,1.0508,0.000150436,0.000150436,0.000150436
5,5346.1,0.9604,7.87445,1.01668,0.70593,0.27339,0.33742,0.28678,0.90304,8.54714,1.00881,0.000186725,0.000186725,0.000186725
6,6385.83,0.86148,8.24857,0.9761,0.86073,0.30986,0.45385,0.37748,0.8741,8.15432,0.9878,0.00022164,0.00022164,0.00022164
7,7416.34,0.93155,8.0419,1.01263,0.62477,0.51264,0.53648,0.42339,0.90933,7.35076,1.00459,0.000255181,0.000255181,0.000255181
8,8387.42,0.85697,7.62963,1.01008,0.77985,0.56971,0.58036,0.44693,0.8922,6.96967,0.99929,0.000287348,0.000287348,0.000287348
9,9412.68,0.95753,6.54301,0.97929,0.79811,0.52626,0.58999,0.46533,0.87748,6.77058,0.99286,0.000318139,0.000318139,0.000318139
10,10486.9,0.85792,6.09514,0.98838,0.80196,0.52742,0.58741,0.43583,0.95889,6.81029,1.05684,0.000347557,0.000347557,0.000347557
11,11583.1,0.88682,5.45916,0.96962,0.70237,0.53369,0.59205,0.41521,0.96777,6.82423,1.04112,0.0003756,0.0003756,0.0003756
12,12743,0.87413,5.58606,0.98683,0.76275,0.53349,0.62816,0.47873,0.9035,6.78328,1.01712,0.000402268,0.000402268,0.000402268
