epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4982,2.32299,9.9641,1.93043,0.00544,0.07008,0.00326,0.00152,2.42228,10.4459,2.00096,4.165e-05,4.165e-05,4.165e-05
2,62.4303,1.8212,6.58557,1.69488,0.62188,0.10821,0.10232,0.0592,1.92146,12.56,1.79843,8.86062e-05,8.86062e-05,8.86062e-05
3,94.0345,1.55996,3.88934,1.46161,0.35628,0.26607,0.27463,0.16327,1.88002,12.4808,1.65565,0.000132264,0.000132264,0.000132264
4,126.453,1.51894,3.68841,1.3813,0.517,0.36261,0.39052,0.24965,1.64667,8.03354,1.47881,0.000172623,0.000172623,0.000172623
5,158.486,1.36886,2.72439,1.34405,0.63022,0.40438,0.3993,0.25275,1.48217,5.65507,1.3591,0.000209683,0.000209683,0.000209683
6,192.915,1.66923,2.65731,1.41029,0.58289,0.44682,0.37822,0.23734,1.54487,5.32492,1.37886,0.000243444,0.000243444,0.000243444
7,228.903,1.82665,3.1313,1.3868,0.63838,0.43718,0.42428,0.24131,1.49529,3.84359,1.34657,0.000273907,0.000273907,0.000273907
8,265.047,1.42824,1.8498,1.30076,0.69958,0.26155,0.288,0.17817,1.45163,3.0739,1.2963,0.000301071,0.000301071,0.000301071
9,301.197,1.26015,1.59145,1.16688,0.66474,0.29517,0.29698,0.18129,1.31722,2.50185,1.23256,0.000324937,0.000324937,0.000324937
10,334.056,1.43506,1.86163,1.29517,0.74162,0.30229,0.3215,0.19013,1.3218,2.28687,1.21552,0.000345503,0.000345503,0.000345503
11,366.857,1.4144,1.62807,1.29804,0.7035,0.24341,0.26645,0.15429,1.42374,2.35718,1.29793,0.000362771,0.000362771,0.000362771
12,402.299,1.26895,1.34826,1.17042,0.87601,0.28078,0.39063,0.20372,1.41753,1.85155,1.27742,0.000376741,0.000376741,0.000376741
13,437.981,1.4297,1.71476,1.23577,0.85282,0.25484,0.34645,0.18525,1.23256,1.61222,1.16163,0.000387412,0.000387412,0.000387412
14,471.956,1.37996,1.31446,1.21555,0.72793,0.25588,0.34829,0.19251,1.35961,1.56417,1.27546,0.000394784,0.000394784,0.000394784
15,506.519,1.24672,1.07797,1.16573,0.6728,0.25368,0.34706,0.2045,1.33565,1.43913,1.24304,0.000398857,0.000398857,0.000398857
16,547.918,1.30593,1.09971,1.18385,0.78055,0.26914,0.36783,0.22935,1.16735,1.14361,1.13664,0.000399632,0.000399632,0.000399632
17,589.162,1.30887,1.17614,1.22314,0.84677,0.27951,0.38639,0.24806,1.12323,1.08838,1.11588,0.000393176,0.000393176,0.000393176
18,628.176,1.24437,1.03279,1.16554,0.87939,0.30776,0.42722,0.28082,1.12839,1.06183,1.15633,0.000365687,0.000365687,0.000365687
19,675.404,1.21842,1.26661,1.12691,0.8873,0.35202,0.46794,0.31243,1.09571,0.96142,1.13006,0.000338198,0.000338198,0.000338198
20,716.053,1.24248,1.0818,1.16262,0.944,0.58827,0.71858,0.49029,1.05112,0.90143,1.08171,0.000310709,0.000310709,0.000310709
21,762.191,1.233,1.1532,1.19125,0.77562,0.90243,0.89149,0.61383,1.0565,0.90032,1.08034,0.00028322,0.00028322,0.00028322
22,800.732,1.18047,1.15611,1.14244,0.87708,0.90164,0.88546,0.62578,1.04306,0.84185,1.07515,0.000255731,0.000255731,0.000255731
23,830.975,1.14239,1.06599,1.14128,0.98207,0.91531,0.97403,0.67655,1.02943,0.81602,1.07676,0.000228242,0.000228242,0.000228242
24,858.836,1.10263,1.03866,1.11123,0.94634,0.93143,0.98079,0.67764,1.02548,0.81344,1.07933,0.000200753,0.000200753,0.000200753
25,886.213,1.18636,1.17152,1.27832,0.9632,0.92363,0.98069,0.67401,1.03963,0.82176,1.08322,0.000173264,0.000173264,0.000173264
26,913.385,1.10659,0.96929,1.07713,0.96617,0.93118,0.98083,0.66761,1.06511,0.81209,1.08307,0.000145775,0.000145775,0.000145775
27,940.054,1.02277,0.87182,1.11426,0.96657,0.93677,0.98042,0.65951,1.05009,0.79388,1.07208,0.000118286,0.000118286,0.000118286
28,968.321,1.09316,1.06188,1.09067,0.96217,0.94524,0.98045,0.67736,1.0216,0.75341,1.06041,9.0797e-05,9.0797e-05,9.0797e-05
29,992.987,0.90746,0.85168,0.99338,0.95628,0.9509,0.98031,0.6859,0.99933,0.74056,1.05067,6.3308e-05,6.3308e-05,6.3308e-05
30,1018.78,1.14174,1.04518,1.0865,0.95883,0.95367,0.98058,0.69184,0.97953,0.72011,1.04042,3.5819e-05,3.5819e-05,3.5819e-05
