epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.58,1.07194,7.162,1.36901,0.03508,1,0.995,0.77028,0.82283,7.87476,1.2418,0,0,0
2,276.744,0.97741,6.31468,1.35913,0.03434,1,0.995,0.77949,0.81379,7.9393,1.22925,8.94001e-06,8.94001e-06,8.94001e-06
3,426.967,1.02839,6.19599,1.14664,0.03491,1,0.995,0.76929,0.80593,7.94623,1.21925,1.75801e-05,1.75801e-05,1.75801e-05
4,575.974,0.89036,6.90708,1.24904,0.0347,1,0.995,0.76814,0.80089,7.91638,1.22798,2.59201e-05,2.59201e-05,2.59201e-05
5,730.866,0.97636,6.53722,1.35661,0.03345,1,0.995,0.73926,0.76901,7.97883,1.18297,3.39602e-05,3.39602e-05,3.39602e-05
6,883.87,1.02543,6.50748,1.14423,0.03313,1,0.995,0.75174,0.77196,8.03097,1.16991,4.17004e-05,4.17004e-05,4.17004e-05
7,1035.34,0.7848,6.29854,1.20276,0.03217,1,0.995,0.7277,0.82444,7.88133,1.20712,4.91405e-05,4.91405e-05,4.91405e-05
8,1186.4,0.90328,6.02104,1.18429,0.03241,1,0.995,0.71112,0.81095,7.89413,1.17427,5.62807e-05,5.62807e-05,5.62807e-05
9,1368.4,0.95648,6.05036,1.27092,0.03329,1,0.995,0.7466,0.78508,7.83861,1.13752,6.3121e-05,6.3121e-05,6.3121e-05
10,1511.65,0.88147,8.5244,1.20344,0.0335,1,0.995,0.73788,0.75519,7.70327,1.10392,6.96612e-05,6.96612e-05,6.96612e-05
11,1670.84,0.82724,5.14826,1.14199,0.03495,1,0.995,0.73599,0.75356,7.70456,1.08343,7.59015e-05,7.59015e-05,7.59015e-05
12,1807.09,0.84321,5.37417,1.00202,0.2672,1,0.995,0.77583,0.76401,7.84568,1.07524,8.18418e-05,8.18418e-05,8.18418e-05
13,1962.1,0.76404,5.41128,0.9951,0.03692,1,0.995,0.75923,0.75982,7.81348,1.0585,8.74822e-05,8.74822e-05,8.74822e-05
14,2118.38,0.89148,5.50787,1.13408,0.03726,1,0.995,0.76455,0.78269,7.83338,1.05891,9.28225e-05,9.28225e-05,9.28225e-05
15,2268.27,0.88347,6.12741,1.21565,0.03977,1,0.995,0.77393,0.81351,7.80575,1.06457,9.78629e-05,9.78629e-05,9.78629e-05
16,2422.45,0.82374,7.42884,1.06428,0.04103,1,0.995,0.7814,0.77576,7.72556,1.04144,0.000102603,0.000102603,0.000102603
17,2576.53,0.7598,5.08189,1.0541,0.03975,1,0.995,0.78516,0.75146,7.65361,1.01293,0.000107044,0.000107044,0.000107044
18,2734.77,0.63598,5.37734,1.0635,0.03975,1,0.995,0.78516,0.75146,7.65361,1.01293,0.000111184,0.000111184,0.000111184
19,2910,1.11423,6.57831,1.3125,0.03573,1,0.995,0.79595,0.74765,7.5902,0.9962,0.000115025,0.000115025,0.000115025
20,3073.98,0.95311,4.58826,1.14936,0.03573,1,0.995,0.79595,0.74765,7.5902,0.9962,0.000118565,0.000118565,0.000118565
21,3253.41,0.80072,8.11897,1.1744,0.03214,1,0.995,0.7959,0.72235,7.61673,0.98596,0.000121806,0.000121806,0.000121806
22,3420.83,0.87928,6.55179,1.17613,0.03214,1,0.995,0.7959,0.72235,7.61673,0.98596,0.000124747,0.000124747,0.000124747
23,3595.32,0.70217,5.96913,1.00343,0.02982,1,0.995,0.80391,0.68437,7.66717,0.97089,0.000127387,0.000127387,0.000127387
24,3745.9,0.78401,5.48133,1.09491,0.02982,1,0.995,0.80391,0.68437,7.66717,0.97089,0.000129728,0.000129728,0.000129728
25,3897.45,0.91587,6.09093,1.12936,0.0279,1,0.995,0.81519,0.68503,7.74296,0.97155,0.000131769,0.000131769,0.000131769
26,4061.1,0.72728,4.8086,1.05694,0.0279,1,0.995,0.81519,0.68503,7.74296,0.97155,0.000133509,0.000133509,0.000133509
27,4225.16,0.65624,5.08736,0.93373,0.02598,1,0.995,0.81554,0.69868,7.79572,0.97768,0.00013495,0.00013495,0.00013495
28,4392.6,0.88487,5.11181,1.14539,0.02598,1,0.995,0.81554,0.69868,7.79572,0.97768,0.000136091,0.000136091,0.000136091
29,4554.55,0.73453,7.1129,1.17289,1,0.34413,0.995,0.80124,0.70048,7.87861,0.97372,0.000136932,0.000136932,0.000136932
30,4730.85,0.79795,4.48919,1.01488,1,0.34413,0.995,0.80124,0.70048,7.87861,0.97372,0.000137473,0.000137473,0.000137473
31,4878.17,0.71324,5.20598,1.03891,0.99929,0.53717,0.995,0.79913,0.69824,7.86847,0.95571,0.000137714,0.000137714,0.000137714
32,5026.44,0.56917,4.02634,0.89067,0.99929,0.53717,0.995,0.79913,0.69824,7.86847,0.95571,0.000137654,0.000137654,0.000137654
33,5179.56,0.60349,5.35497,0.9163,0.96789,0.66667,0.995,0.81186,0.66614,7.86764,0.93663,0.000137295,0.000137295,0.000137295
34,5334.86,0.62474,4.39093,0.94155,0.96789,0.66667,0.995,0.81186,0.66614,7.86764,0.93663,0.000136636,0.000136636,0.000136636
35,5499.74,0.66684,4.13895,0.95271,0.9466,0.66667,0.995,0.84098,0.64522,7.80485,0.9254,0.000135677,0.000135677,0.000135677
36,5677.44,0.6182,5.87142,1.01514,0.9466,0.66667,0.995,0.84098,0.64522,7.80485,0.9254,0.000134418,0.000134418,0.000134418
37,5845.2,0.66079,5.43238,0.97032,0.93936,0.66667,0.995,0.84726,0.63536,7.91907,0.91699,0.000132859,0.000132859,0.000132859
38,6023.71,0.69382,4.07019,1.01004,0.93936,0.66667,0.995,0.84726,0.63536,7.91907,0.91699,0.000131001,0.000131001,0.000131001
39,6209.46,0.57138,4.79601,0.9839,0.93456,0.66667,0.995,0.86386,0.63359,8.08276,0.9155,0.000128842,0.000128842,0.000128842
40,6374.34,0.4801,5.68594,0.91893,0.93456,0.66667,0.995,0.86386,0.63359,8.08276,0.9155,0.000126383,0.000126383,0.000126383
41,6571.34,0.66871,4.11861,0.93986,0.92875,0.66667,0.995,0.86751,0.62573,8.17338,0.90876,0.000123624,0.000123624,0.000123624
42,6755.02,0.67903,5.00198,0.99757,0.92875,0.66667,0.995,0.86751,0.62573,8.17338,0.90876,0.000120565,0.000120565,0.000120565
43,6920.2,0.80974,6.50148,1.09611,0.92825,0.66667,0.995,0.88436,0.61852,8.30024,0.90106,0.000117206,0.000117206,0.000117206
44,7080.92,0.50972,3.82288,0.90311,0.92825,0.66667,0.995,0.88436,0.61852,8.30024,0.90106,0.000113548,0.000113548,0.000113548
45,7250.59,0.62066,4.36185,0.9282,0.92728,0.66667,0.995,0.8876,0.61072,8.26834,0.89905,0.000109589,0.000109589,0.000109589
46,7400.3,0.78126,5.52564,1.07147,0.92728,0.66667,0.995,0.8876,0.61072,8.26834,0.89905,0.00010533,0.00010533,0.00010533
47,7561.24,0.58451,4.21735,0.94831,0.92556,0.66667,0.995,0.87918,0.60001,8.27436,0.89226,0.000100772,0.000100772,0.000100772
48,7734.87,0.55484,5.12463,0.96045,0.92556,0.66667,0.995,0.87918,0.60001,8.27436,0.89226,9.59131e-05,9.59131e-05,9.59131e-05
49,7907.05,0.62201,4.37927,0.97716,0.92393,0.86934,0.995,0.87918,0.57927,8.28713,0.87225,9.07546e-05,9.07546e-05,9.07546e-05
50,8079.47,0.5014,4.84669,0.9597,0.92393,0.86934,0.995,0.87918,0.57927,8.28713,0.87225,8.5296e-05,8.5296e-05,8.5296e-05
51,8243.64,0.75746,7.98425,1.11493,0.92251,0.90367,0.995,0.89253,0.57115,8.28343,0.86731,7.95375e-05,7.95375e-05,7.95375e-05
52,8420.28,0.60102,7.30733,0.99068,0.92251,0.90367,0.995,0.89253,0.57115,8.28343,0.86731,7.3479e-05,7.3479e-05,7.3479e-05
53,8584.93,0.68349,7.33381,1.07847,0.92251,0.90367,0.995,0.89253,0.57115,8.28343,0.86731,6.71206e-05,6.71206e-05,6.71206e-05
54,8761.44,0.60395,7.38904,1.03145,0.91923,0.93667,0.995,0.89158,0.55617,8.19778,0.85652,6.04621e-05,6.04621e-05,6.04621e-05
55,8937.78,0.52286,7.78986,1.02774,0.91923,0.93667,0.995,0.89158,0.55617,8.19778,0.85652,5.35037e-05,5.35037e-05,5.35037e-05
56,9127.76,0.51824,7.63931,0.91176,0.91923,0.93667,0.995,0.89158,0.55617,8.19778,0.85652,4.62454e-05,4.62454e-05,4.62454e-05
57,9242.22,0.63409,8.16442,1.00498,0.91883,0.94224,0.995,0.88974,0.54595,8.17241,0.84943,3.8687e-05,3.8687e-05,3.8687e-05
58,9368.34,0.56697,8.17904,1.01453,0.91883,0.94224,0.995,0.88974,0.54595,8.17241,0.84943,3.08287e-05,3.08287e-05,3.08287e-05
59,9498.5,0.49668,7.97673,0.91081,0.91883,0.94224,0.995,0.88974,0.54595,8.17241,0.84943,2.26705e-05,2.26705e-05,2.26705e-05
60,9672.25,0.55085,8.00809,0.97036,0.91621,0.95973,0.995,0.88882,0.53823,8.01647,0.84701,1.42122e-05,1.42122e-05,1.42122e-05
