epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1113.28,0.90915,3.9613,1.00579,0.99182,0.95053,0.97909,0.81533,0.62938,3.34817,0.9315,4.165e-05,4.165e-05,4.165e-05
2,2308.81,0.77165,3.62856,0.99566,0.98363,0.94791,0.97559,0.81136,0.63175,3.20755,0.93899,7.34873e-05,7.34873e-05,7.34873e-05
3,3442.31,0.71037,2.93253,0.92388,0.97255,0.97037,0.98395,0.81665,0.61323,3.15394,0.92386,8.55324e-05,8.55324e-05,8.55324e-05
4,4619.96,0.67596,3.61692,0.92098,0.97973,0.97088,0.98387,0.81548,0.61127,3.16264,0.92008,7.77855e-05,7.77855e-05,7.77855e-05
5,5747.65,0.66632,3.14459,0.90028,0.98514,0.96899,0.98388,0.81265,0.61222,3.19134,0.91677,5.02466e-05,5.02466e-05,5.02466e-05
