epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,729.798,0.64803,2.82793,0.9705,0.98672,0.67914,0.92998,0.80845,0.60026,2.83421,0.99261,2.727e-05,2.727e-05,2.727e-05
2,1477.79,0.73289,2.69178,0.99687,0.95574,0.71999,0.93849,0.78586,0.64954,2.65012,0.99415,6.25801e-05,6.25801e-05,6.25801e-05
3,2215.63,0.73059,2.7132,0.98029,0.9893,0.7523,0.95145,0.80389,0.58382,2.60584,0.96759,9.66903e-05,9.66903e-05,9.66903e-05
4,3012.34,0.79055,2.71436,1.03877,0.98603,0.74302,0.9463,0.7809,0.66054,2.71219,0.98532,0.000129601,0.000129601,0.000129601
5,3765.8,0.77056,2.93685,1.03508,0.98945,0.74066,0.95353,0.78883,0.65464,2.78769,0.98644,0.000161311,0.000161311,0.000161311
6,4523.68,0.76902,2.86593,1.05273,0.92467,0.75417,0.95617,0.81593,0.69098,2.77849,0.99514,0.000191822,0.000191822,0.000191822
7,5240.41,0.75316,2.93745,0.99703,0.92701,0.75417,0.95876,0.82533,0.6464,2.76148,0.96925,0.000221132,0.000221132,0.000221132
8,5977.44,0.70916,3.32246,0.95976,0.93069,0.93128,0.96821,0.80888,0.58858,2.73338,0.94116,0.000249243,0.000249243,0.000249243
9,6694.02,0.76778,2.47117,0.99724,0.92321,0.9875,0.97949,0.80515,0.59907,2.62434,0.94609,0.000276154,0.000276154,0.000276154
10,7424.65,0.75434,2.56118,0.9878,0.90915,0.9875,0.97967,0.8132,0.61593,2.59001,0.94714,0.000301865,0.000301865,0.000301865
11,8117.45,0.88361,3.06525,1.01183,0.93859,0.97083,0.97936,0.81919,0.62099,2.5781,0.94602,0.000326376,0.000326376,0.000326376
12,8872.92,0.70964,2.55555,0.94429,0.94801,0.96202,0.96844,0.78543,0.6912,2.60201,0.98112,0.000349688,0.000349688,0.000349688
13,9710.02,0.71193,2.3708,0.9841,0.96449,0.96822,0.97965,0.78588,0.72884,2.57952,1.01521,0.000371799,0.000371799,0.000371799
14,10469.2,0.74853,2.39015,0.9592,0.96504,0.97083,0.97918,0.79844,0.70623,2.52423,0.99785,0.000392711,0.000392711,0.000392711
15,11217.7,0.70911,2.5596,0.99141,0.96894,0.97083,0.98057,0.80634,0.64467,2.54566,0.95318,0.000412422,0.000412422,0.000412422
16,11901.5,0.70222,2.41433,0.95361,0.97483,0.96848,0.98207,0.79405,0.64926,2.57251,0.95141,0.000430934,0.000430934,0.000430934
17,12596.7,0.77596,2.52811,0.98546,0.98004,0.96516,0.9824,0.78685,0.7223,2.49891,1.00452,0.000448246,0.000448246,0.000448246
18,13336,0.85744,3.27447,1.06111,0.96541,0.97917,0.98241,0.76717,0.78606,2.52867,1.0516,0.000464358,0.000464358,0.000464358
19,14035.4,0.78413,2.80545,1.04462,0.97088,0.95582,0.98241,0.7502,0.7891,2.53247,1.06465,0.00047927,0.00047927,0.00047927
20,14762.2,0.80592,2.36934,1.00345,0.98085,0.94484,0.98222,0.73358,0.8537,2.55101,1.10078,0.000492983,0.000492983,0.000492983
21,15505.8,0.74925,2.31813,0.99744,0.94605,0.95528,0.98063,0.81824,0.70457,2.46572,0.99634,0.000505495,0.000505495,0.000505495
22,16224.2,0.76231,2.34429,0.97122,0.93696,0.95244,0.98082,0.80817,0.669,2.37246,0.97387,0.000516807,0.000516807,0.000516807
23,16950,0.71987,2.70475,0.9832,0.96854,0.94731,0.97902,0.78396,0.72599,2.39726,1.00541,0.00052692,0.00052692,0.00052692
24,17687.9,0.76911,2.29506,0.97254,0.97989,0.95061,0.97902,0.78044,0.72102,2.38694,0.99491,0.000535833,0.000535833,0.000535833
25,18425.6,0.73784,2.42956,1.01909,0.96224,0.95183,0.97902,0.79695,0.68783,2.39959,0.96999,0.000543546,0.000543546,0.000543546
26,19208.7,0.75059,2.25076,0.99101,0.96456,0.9514,0.98302,0.79047,0.66822,2.35671,0.96523,0.000534037,0.000534037,0.000534037
27,19973.6,0.72324,2.22429,0.99668,0.94788,0.96465,0.98302,0.7561,0.75779,2.36639,1.03355,0.000519039,0.000519039,0.000519039
28,20753.3,0.72825,2.49421,0.95894,0.96452,0.96468,0.98302,0.76679,0.77312,2.27901,1.03276,0.00050404,0.00050404,0.00050404
29,21503.2,0.71327,2.08989,0.93273,0.97737,0.96717,0.98302,0.83132,0.64311,2.08771,0.95152,0.000489042,0.000489042,0.000489042
30,22245.5,0.71707,2.0161,0.9531,0.97222,0.98378,0.98302,0.82449,0.62763,2.04866,0.9434,0.000474043,0.000474043,0.000474043
31,22996.5,0.76731,2.26256,0.9892,0.96749,0.98162,0.98302,0.82303,0.60739,1.99574,0.93639,0.000459045,0.000459045,0.000459045
32,23776.4,0.67437,2.15743,0.98262,0.96455,0.97999,0.98302,0.82934,0.58451,1.99996,0.9301,0.000444046,0.000444046,0.000444046
33,24587.1,0.70229,1.84096,0.95566,0.96644,0.98023,0.98302,0.83088,0.59196,1.99563,0.93155,0.000429048,0.000429048,0.000429048
34,25330.6,0.68743,2.27276,0.96268,0.9703,0.9819,0.98302,0.85902,0.55682,1.96416,0.91221,0.000414049,0.000414049,0.000414049
35,26089.3,0.63669,2.02879,0.94973,0.97583,0.98347,0.98303,0.84844,0.54907,1.92426,0.90905,0.000399051,0.000399051,0.000399051
36,26827.6,0.59956,1.94496,0.8988,0.97381,0.9842,0.98302,0.85736,0.53328,1.87149,0.90504,0.000384052,0.000384052,0.000384052
37,27537.7,0.65134,1.8712,0.91824,0.97217,0.98024,0.98302,0.85804,0.54257,1.85904,0.9083,0.000369054,0.000369054,0.000369054
38,28235.4,0.64206,2.07453,0.9393,0.97988,0.97926,0.98302,0.85905,0.54423,1.85262,0.8986,0.000354055,0.000354055,0.000354055
39,28941.9,0.61717,1.52054,0.89502,0.97498,0.98308,0.98302,0.86496,0.53981,1.82986,0.89272,0.000339057,0.000339057,0.000339057
40,29744.6,0.63603,2.0262,0.90348,0.97574,0.9838,0.98302,0.8542,0.51732,1.78939,0.88647,0.000324058,0.000324058,0.000324058
41,30526.1,0.66272,2.29814,0.95024,0.96637,0.98214,0.98302,0.85512,0.51367,1.77652,0.8858,0.00030906,0.00030906,0.00030906
42,31292.2,0.63654,1.8218,0.90763,0.96795,0.98011,0.98303,0.85013,0.51745,1.75576,0.89054,0.000294061,0.000294061,0.000294061
43,32015.4,0.60677,1.68779,0.91081,0.97166,0.98137,0.98303,0.84378,0.55439,1.74876,0.90149,0.000279063,0.000279063,0.000279063
44,32730.8,0.60758,1.85733,0.91106,0.97646,0.98728,0.98304,0.85383,0.54758,1.71423,0.89897,0.000264064,0.000264064,0.000264064
45,33432.8,0.58197,1.76814,0.91443,0.97712,0.9875,0.98304,0.86737,0.5007,1.69453,0.88491,0.000249066,0.000249066,0.000249066
46,34112.2,0.60744,2.03458,0.93076,0.97812,0.9875,0.98303,0.86484,0.48547,1.68283,0.88222,0.000234068,0.000234068,0.000234068
