epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,40238.8,0.66522,3.6566,0.89473,0.94978,0.14735,0.15241,0.12945,0.65189,3.71112,0.89752,0.000269475,0.000269475,0.000269475
43,41228,0.71598,4.42934,0.90312,0.9037,0.0956,0.10135,0.08548,0.63898,3.70395,0.89303,0.000255731,0.000255731,0.000255731
44,42175.5,0.65733,3.60319,0.87801,0.88038,0.10913,0.11456,0.09564,0.66117,3.73008,0.89551,0.000241986,0.000241986,0.000241986
45,43162.5,0.74811,4.0221,0.90806,0.88075,0.12488,0.13048,0.11236,0.67353,3.73088,0.90042,0.000228242,0.000228242,0.000228242
46,44080.2,0.66173,3.67906,0.88537,0.90114,0.13842,0.14455,0.12345,0.66711,3.70229,0.89987,0.000214497,0.000214497,0.000214497
47,45092,0.65705,3.41364,0.89107,0.93347,0.1033,0.10781,0.09076,0.64904,3.64331,0.89619,0.000200753,0.000200753,0.000200753
48,46011.5,0.64831,3.62984,0.85485,0.95261,0.12238,0.12763,0.10715,0.6455,3.51196,0.8922,0.000187008,0.000187008,0.000187008
49,46949.4,0.65015,3.22362,0.87985,0.95295,0.10703,0.11181,0.09398,0.63914,3.46076,0.89029,0.000173264,0.000173264,0.000173264
50,47936.2,0.69765,3.55658,0.90436,0.96268,0.12056,0.12454,0.10632,0.62738,3.42617,0.88589,0.00015952,0.00015952,0.00015952
51,48764.4,0.72655,5.79088,0.91848,0.97632,0.07972,0.0838,0.07215,0.6066,3.40825,0.88004,0.000145775,0.000145775,0.000145775
52,49539.5,0.69815,5.69445,0.89939,0.9603,0.10453,0.10944,0.0934,0.6198,3.39718,0.88241,0.000132031,0.000132031,0.000132031
53,50316.7,0.71921,5.60844,0.89666,0.94702,0.11917,0.12357,0.10552,0.63033,3.40799,0.88352,0.000118286,0.000118286,0.000118286
54,51206.7,0.67623,5.62128,0.8925,0.9525,0.08865,0.09286,0.07633,0.6259,3.42196,0.88099,0.000104542,0.000104542,0.000104542
55,52003,0.68715,5.60051,0.90353,0.93376,0.08451,0.0898,0.07948,0.61986,3.4355,0.87874,9.0797e-05,9.0797e-05,9.0797e-05
56,52899.4,0.63719,5.27532,0.88725,0.94669,0.07722,0.081,0.07162,0.61064,3.42594,0.87532,7.70525e-05,7.70525e-05,7.70525e-05
57,53711.5,0.67307,5.95431,0.91388,0.95306,0.08865,0.09229,0.07983,0.60665,3.40659,0.87402,6.3308e-05,6.3308e-05,6.3308e-05
58,54481.7,0.68504,5.68825,0.88049,0.96034,0.11222,0.11631,0.10177,0.60315,3.3821,0.87335,4.95635e-05,4.95635e-05,4.95635e-05
59,55333,0.62097,5.65389,0.90622,0.94566,0.13355,0.13708,0.11642,0.60001,3.3585,0.87242,3.5819e-05,3.5819e-05,3.5819e-05
60,56238.7,0.64672,5.53373,0.92482,0.96329,0.09508,0.09823,0.08683,0.59128,3.3193,0.87019,2.20745e-05,2.20745e-05,2.20745e-05
