epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1162.04,0.66658,3.41485,0.90031,0.97945,0.97027,0.98406,0.82852,0.59286,3.15317,0.91603,4.165e-05,4.165e-05,4.165e-05
2,2427.1,0.55751,3.41471,0.90812,0.97725,0.97854,0.98368,0.8328,0.61395,3.21604,0.9211,8.98157e-05,8.98157e-05,8.98157e-05
3,3603.48,0.66956,2.8739,0.89918,0.97307,0.97418,0.98369,0.80308,0.66466,3.22718,0.9251,0.000136002,0.000136002,0.000136002
4,4760.83,0.7168,3.60696,0.93287,0.9737,0.9606,0.98371,0.82257,0.62387,3.31516,0.91231,0.00018021,0.00018021,0.00018021
5,5955.4,0.70648,3.14372,0.9115,0.9478,0.97744,0.98145,0.79338,0.68266,3.34443,0.92867,0.000222438,0.000222438,0.000222438
6,7142.64,0.82403,3.07455,0.96916,0.96661,0.94453,0.98353,0.82075,0.63907,3.16464,0.91421,0.000262687,0.000262687,0.000262687
7,8271.39,0.92807,4.12134,0.9383,0.96168,0.94833,0.98536,0.8021,0.66971,3.34153,0.927,0.000300956,0.000300956,0.000300956
8,9459.84,0.73548,2.90153,0.95204,0.94313,0.95216,0.983,0.7544,0.77293,3.39868,0.97236,0.000337247,0.000337247,0.000337247
