epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2041.26,0.99779,0.62561,1.1814,0.97741,0.95894,0.98284,0.75767,0.92593,0.56036,1.19284,4.165e-05,4.165e-05,4.165e-05
2,4330.25,1.02467,0.66808,1.26205,0.96049,0.96327,0.98444,0.74655,0.8899,0.56228,1.18612,8.70943e-05,8.70943e-05,8.70943e-05
3,6028.82,0.82516,0.49877,1.05094,0.9649,0.97006,0.98305,0.75537,0.91983,0.54877,1.19851,0.000127591,0.000127591,0.000127591
4,7984.58,0.92098,0.53457,1.12834,0.972,0.97808,0.98395,0.75589,0.90976,0.53296,1.19068,0.000163139,0.000163139,0.000163139
5,10222.4,0.86986,0.53865,1.09596,0.95042,0.97845,0.98455,0.76304,0.87442,0.51773,1.1682,0.000193739,0.000193739,0.000193739
6,12276.3,0.99417,0.55876,1.17151,0.95402,0.97408,0.98433,0.75399,0.87622,0.52964,1.16959,0.000219391,0.000219391,0.000219391
7,14288.2,1.0942,0.59933,1.1461,0.95978,0.984,0.98422,0.73029,0.92997,0.56179,1.20222,0.000240096,0.000240096,0.000240096
8,16437.3,0.91081,0.54294,1.17451,0.93245,0.97432,0.98509,0.75584,0.88073,0.54231,1.18199,0.000255852,0.000255852,0.000255852
9,18698.5,0.86076,0.50157,1.06942,0.94732,0.98267,0.98643,0.73484,0.95271,0.54444,1.23604,0.00026666,0.00026666,0.00026666
10,20515,0.96845,0.62957,1.23902,0.95369,0.98445,0.98726,0.74671,0.92622,0.52785,1.19299,0.00027252,0.00027252,0.00027252
